marca,estabelecimento
mcdonalds,MC DONALDS OUR           
mcdonalds,MC DONALDS CFO           
mcdonalds,MC DONALDS  SLU          
mcdonalds,MC DONALDS BRD           
mcdonalds,MC DONALDS  NFL          
mcdonalds,MC DONALDS  EAP          
mcdonalds,MC DONALDS -CCR      4003
mcdonalds,MC DONALDS  MRB          
mcdonalds,MC DONALDS BRE           
mcdonalds,MC DONALDS ITP           
mcdonalds,MC DONALDS OUS           
mcdonalds,MCDONALDS AFP            
mcdonalds,MC DONALDS  GJR          
mcdonalds,MC DONALDS CMA           
mcdonalds,McDonalds 01             
mcdonalds,MCDONALDS JKN            
mcdonalds,MCDONALDS PSA            
mcdonalds,MC DONALDS  MEI          
mcdonalds,MC DONALDS CSQ           
mcdonalds,MC DONALDS-ARICANDUVA    
mcdonalds,MC DONALDS  PBS          
mcdonalds,MC DONALDS  ACC          
mcdonalds,MC DONALDS  FOZ          
mcdonalds,MC DONALDS BEL           
mcdonalds,MCDONALDS PSB            
mcdonalds,MCDONALDSREST.HERTENST   
mcdonalds,MC DONALDS  NFR          
mcdonalds,MC DONALDS  AVO          
mcdonalds,MC DONALDS OBM           
mcdonalds,MC DONALDS  APA          
mcdonalds,MCDONALDS COT            
mcdonalds,MC DONALDS ITV           
mcdonalds,MC DONALDS  AIS          
mcdonalds,MC DONALDS TOF           
mcdonalds,MC DONALDS CSS           
mcdonalds,MC DONALDS  APB          
mcdonalds,MCDONALDS GTV            
mcdonalds,MC DONALDS -CLH      2957
mcdonalds,MC DONALDS - BUR         
mcdonalds,MercPago    *MCDONALDS   
mcdonalds,MC DONALDS  PC7          
mcdonalds,MC DONALDS AJU           
mcdonalds,MC DONALDS STM           
mcdonalds,MC DONALDS TUU           
